Env,Rep,Block,Genotype,Female,Male,PED,PHT,EHT,LAE,LAT,LATP,LAI,DTA,DTS,ASI,SDL,SDU,TW,TSL,TBN,KW,KL,KD,KS,KPP,CAN,ZIP,SC,PBP,LDR,LDS,EL,FILL,STG,EW,ERW,KRW,TWA,IPY,TGY
MF1500,2,3,127,MOB-C1-007-SSD-028,MOB-C1-035-DH-003,MOB-C1-007-SSD-028 X MOB-C1-035-DH-003,231,109,675.72,3530.72,12117.85,4.169622879,65,68,3, ,6.373333333,1.95,35.6,10,66.5,113.5,46,347196.5,511.68,55,0,96,0,0,0,158.6,150.6,5,41.6,15.6,32.8,54.47905325,0.132138491,15607.27627
MF1500,3,14,127,MOB-C1-007-SSD-028,MOB-C1-035-DH-003,MOB-C1-007-SSD-028 X MOB-C1-035-DH-003,236,120,685.81,3583.43,18784.76,4.231863731,65,67,2, ,8.65,1.75,35.05,11,64.5,109,40.5,284735.25,550.4,53,0,96,5.21,0,0,158.6,150.8,5,40.4,16,34.4,61.00118343,0.086513545,10218.37609
MF1500,1,13,128,MOB-C1-007-SSD-020,MOB-C1-061-SSD-006,MOB-C1-007-SSD-020 X MOB-C1-061-SSD-006,300,123,690.15,3606.09,25583.08,4.258623595,67,70,3, ,8.206666667,0.9,33.7,8.5,71.75,95,53,361261.25,413.28,50,16,96,5.21,1.04,2.08,137.2,113.2,2,40.8,16.8,24.6,59.95384615,0.063925555,7550.440443
MF1500,2,16,128,MOB-C1-007-SSD-020,MOB-C1-061-SSD-006,MOB-C1-007-SSD-020 X MOB-C1-061-SSD-006,281,120,706.6,3692.06,16057.8,4.360150643,67,70,3, ,9.076666667,1.85,40.85,9.5,73.5,120.5,50,442837.5,601.2,54,0,96,2.08,0,3.13,193,167,4,47.6,18,33.4,59.84378698,0.104273395,12316.04566
MF1500,3,14,128,MOB-C1-007-SSD-020,MOB-C1-061-SSD-006,MOB-C1-007-SSD-020 X MOB-C1-061-SSD-006,300,150,747.81,3907.4,17244.07,4.518327287,69,70,1, ,8.49,2.15,45.6,8.5,73.5,111,47,383449.5,476.28,59,4,94,2.13,0,1.06,168.4,147.4,7,42.8,16.2,29.4,58.17408284,0.102763637,11884.85432
MF1500,1,3,129,MOB-C1-007-SSD-027,MOB-C1-061-SSD-009,MOB-C1-007-SSD-027 X MOB-C1-061-SSD-009, , , , , , , , , , , , , , , , , , , , , ,80, , , , , , , , , , , , 
MF1500,2,16,129,MOB-C1-007-SSD-027,MOB-C1-061-SSD-009,MOB-C1-007-SSD-027 X MOB-C1-061-SSD-009, , , , , , , , , , , , , , , , , , , , , ,85, , , , , , , , , , , , 
MF1500,3,18,129,MOB-C1-007-SSD-027,MOB-C1-061-SSD-009,MOB-C1-007-SSD-027 X MOB-C1-061-SSD-009,266,148,628.39,3283.38,13689.31,3.715963308,66,67,1, ,8.633333333,2.25,41.15,9,77.5,117.5,41.5,377909.375,439.6,59,0,94,0,13.83,0,173,148.6,4,43.4,14,31.4,56.34319527,0.111140288,12580.15198
MF1500,1,17,130,MOB-C1-059-DH-002,RHM-C1-036-DH-008,MOB-C1-059-DH-002 X RHM-C1-036-DH-008,230,114,703.3,3674.8,21004.16,4.158943444,63,67,4, ,9.673333333,2.25,44.25,7,66.5,109,39.5,286315.75,518.4,63,0,92,2.17,0,5.43,154.6,115.2,2,44.6,19.2,27,59.66674556,0.079344937,8981.183962
MF1500,2,10,130,MOB-C1-059-DH-002,RHM-C1-036-DH-008,MOB-C1-059-DH-002 X RHM-C1-036-DH-008,212,99,667.56,3488.07,20161.35,3.990523592,62,64,2, ,8.53,2.55,45,7.5,69.5,111,42,324009,454.08,62,2,93,1.08,1.08,7.53,151.2,109.4,4,45.4,17.2,26.4,58.38769231,0.078461521,8977.723301
